130,刀,刀,dāo,knife; sword; blade,n
131,倒,倒,dǎo,fall; collapse; resell; exchange; rearrange,v
132,到,到,dào,arrive; reach; go to; leave for,v
133,道,道,dào,road; doctrine; speak; say,m
134,道理,道理,dàolǐ,principle; truth; reason; argument,n
135,得,得,dé,get; obtain; result in,v
136,得到,得到,dé dào,get; obtain; gain; receive,
137,的,的,de,particle to form an attribute; of,part
138,地,地,de,particle to form an adverbial,part
139,得,得,de,particle to introduce a complement,part
140,…得很,…得很,… dehěn,very much; quite,
141,得,得,děi,have to; be sure to,aux
142,燈,灯,dēng,lamp; light; lantern,n
143,等,等,děng,wait; when; till,v
144,等,等,děng,and so on; etc.,part
145,低,低,dī,low; droop; hang down,v
146,地,地,dì,the earth; land; field; ground,n
147,地方,地方,dìfang,place; space; part; respect,n
148,第(第一),第(第一),dì (dìyī),used to form ordinal numbers,pref
149,弟弟,弟弟,dìdi,younger brother,n
150,點,点,diǎn,"dot, point; dot stroke",n
151,點,点,diǎn,a little; point,m
152,點,点,diǎn,put a dot; count; select; light,v
153,點心,点心,diǎnxin,pastry; light refreshments,n
154,點鐘,点钟,diǎnzhōng,o'clock,n
155,電,电,diàn,electricity,n
156,電車,电车,diànchē,tram; trolleybus,n
157,電燈,电灯,diàndēng,electric light; electric lamp,n
158,電話,电话,diànhuà,telephone; phone; phone call,n
159,電視,电视,diànshì,television; TV,n
160,電影,电影,diànyǐng,film; movie,n
161,掉,掉,diào,fall; drop; lose; reduce; turn,v
162,丟,丢,diū,lose; throw; put aside,v
163,東,东,dōng,east,n
164,東邊,东边,dōngbiān,east,n
165,東西,东西,dōngxi,thing; creature,n
166,冬,冬,dōng,winter,n
167,冬天,冬天,dōngtiān,winter,n
168,懂,懂,dǒng,understand; know,v
169,動,动,dòng,move; stir; use,v
170,動物,动物,dòngwù,animal,n
171,都,都,dōu,all; both; even; already,adv
172,讀,读,dú,read; read aloud,v
173,短,短,duǎn,short; brief,adj
174,鍛煉,锻炼,duànliàn,take exercise; physical training,v
175,段,段,duàn,segment; period; paragraph,m
176,對,对,duì,towards; treat; compare; aim at,v
177,對,对,duì,right; correct,adj
178,對不起,对不起,duìbuqǐ,sorry; excuse me; let down,
179,頓,顿,dùn,used for meals or scolding,m
180,多,多,duō,much; many; more,adj
181,多,多,duō,how; what,adv
182,多,多,duō,a little or few more than,num
183,多麼,多么,duōme,how; what,adv
184,多少,多少,duōshao,how many; how much,pron
185,餓,饿,è,hungry; starve,v
186,而且,而且,érqiě,moreover; in addition; but also,conj
187,兒子,儿子,érzi,son,n
188,二,二,èr,two,num
189,發,发,fā,send out; discharge; issue; rise,v
190,發燒,发烧,fā shāo,have a fever; have a temperature,
191,發生,发生,fāshēng,happen; occur; take place,v
192,發現,发现,fāxiàn,discover; find; discovery,n
193,發展,发展,fāzhǎn,develop; recruit; development,n
194,法語(法文),法语(法文),fǎyǔ(fǎwén),French; French language,n
195,翻,翻,fān,turn over; rummage; capsize,v
196,翻譯,翻译,fānyì,translate; translation; translator,n
197,反對,反对,fǎnduì,oppose; fight; be against,v
198,飯,饭,fàn,meal; cooked rice or other cereals,n
199,飯店,饭店,fàndiàn,restaurant; hotel,n
200,方便,方便,fāngbiàn,convenient; make convenient,v
201,方法,方法,fāngfǎ,method; way; means,n
202,方面,方面,fāngmiàn,respect; aspect; field; side,n
203,方向,方向,fāngxiàng,direction; orientation,n
204,房間,房间,fángjiān,room,n
205,訪問,访问,fǎngwèn,visit; call on,v
206,放,放,fàng,let go; put; lay; have a vacation,v
207,放假,放假,fàng jià,have a holiday or vacation,
208,非常,非常,fēicháng,very; highly; extraordinary; unusual,adv
209,飛,飞,fēi,fly; flit; hover; flutter,v
210,飛機,飞机,fēijī,aircraft; airplane; plane,n
211,分,分,fēn,divide; distribute; distinguish,v
212,分,分,fēn,minute; point; mark; a money unit,m
213,…分之…,…分之…,… fēnzhī …,for expression of a fraction number,
214,分鐘,分钟,fēnzhōng,minute,n
215,豐富,丰富,fēngfù,rich; abundant; plentiful; enrich,v
216,封,封,fēng,for letters,m
217,風,风,fēng,wind,n
218,夫人,夫人,fūrén,Lady; Madame; Mrs,n
219,服務,服务,fúwù,serve; service,v
220,服務員,服务员,fúwùyuán,waiter; waitress; attendant,n
221,輔導,辅导,fǔdǎo,coach; teach; tutor,n
222,複習,复习,fùxí,revise; review,v
223,複雜,复杂,fùzá,complex; complicated,adj
224,父親,父亲,fùqin,father,n
225,負責,负责,fùzé,be responsible for; conscientious,adj
226,附近,附近,fùjìn,nearby; neighboring area; vicinity,n
227,該,该,gāi,should; ought to; owe; sb.'s turn,v
228,改,改,gǎi,change; transform; rectify; correct,v
229,改變,改变,gǎibiàn,change; alter; transform,n
230,乾凈,干净,gānjìng,clean; neat; tidy,adj
231,感到,感到,gǎndào,feel; sense; think,v
232,感冒,感冒,gǎnmào,common cold,v
233,感謝,感谢,gǎnxiè,thank; be grateful,v
234,敢,敢,gǎn,dare,aux
235,幹,干,gàn,do; work,v
236,幹部,干部,gànbù,cadre,n
237,剛,刚,gāng,just; barely; only just,adv
238,剛才,刚才,gāngcái,a moment ago; just now,n
239,鋼筆,钢笔,gāngbǐ,pen,n
240,高,高,gāo,tall; high; of a high degree,adj
241,高興,高兴,gāoxìng,glad; cheerful; be happy to,v
242,搞,搞,gǎo,do; cause; make; get hold of,v
243,告訴,告诉,gàosù,tell; let know,v
244,哥哥,哥哥,gēge,elder brother,n
245,歌,歌,gē,song,n
246,個,个,gè,(a general measure word),m
247,各,各,gè,each; every; various; different,pron
248,各種,各种,gèzhǒng,all kinds of,pron
249,給,给,gěi,give; grant,prep
250,根,根,gēn,root; foot; base; origin,n
251,跟,跟,gēn,with; and; follow,v
252,更,更,gèng,"more; still more, even more",adv
253,工廠,工厂,gōngchǎng,factory; mill; plant; works,n
254,工人,工人,gōngrén,worker; workman,n
255,工業,工业,gōngyè,industry,n
256,工作,工作,gōngzuò,work; job,n
257,公共汽車,公共汽车,gōnggòng qìchē,bus (for public transit),n
258,公斤,公斤,gōngjīn,kilogram,m
259,公里,公里,gōnglǐ,kilometer,m
260,公園,公园,gōngyuán,park,n
261,夠,够,gòu,be enough; be up to; reach; quite,v
262,姑娘,姑娘,gūniang,girl; daughter,n
