1,阿,阿,ā(āgē),prefix used before kinship terms; (brother),pref
2,阿拉伯語,阿拉伯语,ālābóyǔ(ālābówén),Arabic,n
3,阿姨,阿姨,āyí,auntie; nurse (in a family),n
4,挨,挨,āi,get close to; be next to; by,v
5,哎,哎,āi,hey,interj
6,哎呀,哎呀,āiyā,oh,interj
7,愛好,爱好,àihào,love; be fond of; like; interest; hobby,n
8,愛護,爱护,àihù,cherish; treasure; take good care of,v
9,愛情,爱情,àiqíng,love,n
10,安全,安全,ānquán,safe; secure; safty; security,n
11,安慰,安慰,ānwèi,comfort; console; consolation,n
12,安心,安心,ān xīn,be relieved; feel at ease,
13,按,按,àn,press; push down; according to,prep
14,按時,按时,ànshí,on time; on schedule,adv
15,按照,按照,ànzhào,according to; in accordance with,prep
16,暗,暗,àn,dark,adj
17,岸,岸,àn,bank; shore; coast,n
18,拔,拔,bá,pull; pluck,v
19,白,白,bái,for nothing,adv
20,白菜,白菜,báicài,Chinese cabbage,n
21,白天,白天,báitiān,daytime,n
22,敗,败,bài,fail,v
23,班長,班长,bānzhǎng,class monitor,n
24,板,板,bǎn,board,n
25,半導體,半导体,bàndǎotǐ,semi-conductor,n
26,半拉,半拉,bàn lǎ,half,
27,半夜,半夜,bànyè,midnight,n
28,辦公,办公,bàn gōng,work,
29,辦事,办事,bàn shì,do an errand,
30,幫,帮,bāng,help,v
31,幫忙,帮忙,bāng máng,help; do a favor,
32,榜樣,榜样,bǎngyàng,example; model,n
33,傍晚,傍晚,bàngwǎn,toward evening; at nightfall,n
34,包,包,bāo,bag,m
35,包,包,bāo,wrap,v
36,包括,包括,bāokuò,include; consist of; comprise,v
37,包子,包子,bāozi,steamed; stuffed bun,n
38,薄,薄,báo,thin,adj
39,保,保,bǎo,protect,v
40,保持,保持,bǎochí,keep; maintain; preserve,v
41,保存,保存,bǎocún,preserve; keep; conserve,v
42,保護,保护,bǎohù,protect; safeguard; protection,n
43,保留,保留,bǎoliú,reserve; hold back,v
44,保衛,保卫,bǎowèi,defend; safeguard,v
45,保證,保证,bǎozhèng,ensure; assure; guarantee; promise,n
46,寶貴,宝贵,bǎoguì,valuable; precious,adj
47,抱歉,抱歉,bàoqiàn,be sorry; apologize; regret,adj
48,報到,报到,bào dào,report for duty; check in; register,
49,報道,报道,bàodào(bàodǎo),report; cover; coverage; story,n
50,報告,报告,bàogào,make known; report; speech; lecture,n
51,報名,报名,bào míng,sign up,
52,報紙,报纸,bàozhǐ,newspaper,n
53,背,背,bēi,back,v
54,碑,碑,bēi,tablet,n
55,悲痛,悲痛,bēitòng,grieved; sorrowful,adj
56,北部,北部,běibù,north,n
