86,寶庫,宝库,bǎokù,treasure-house,n
87,抱負,抱负,bàofù,ambition,n
88,抱怨,抱怨,bàoyuàn,complain,v
89,報答,报答,bàodá,reciprocate; pay back; repay,v
90,報考,报考,bàokǎo,enter oneself for an examination,v
91,報銷,报销,bàoxiāo,submit and expense account,v
92,暴動,暴动,bàodòng,insurrection; rebel,n
93,暴風驟雨,暴风骤雨,bào fēng zhòu yǔ,violent storm tempest,
94,暴力,暴力,bàolì,violence,n
95,爆,爆,bào,explode; burst,v
96,爆破,爆破,bàopò,blow up; blast; dynamite,v
97,爆竹,爆竹,bàozhú,firecracker,n
98,悲慘,悲惨,bēicǎn,miserable,adj
99,悲憤,悲愤,bēifèn,grief and indignant,adj
100,悲劇,悲剧,bēijù,tragedy,n
101,悲傷,悲伤,bēishāng,heartbroken; sorrowful,adj
102,卑鄙,卑鄙,bēibǐ,despicable,adj
103,背面,背面,bèimiàn,the back,n
104,背叛,背叛,bèipàn,sellout; betray,v
105,貝殼,贝壳,bèiké,shell; conch,n
106,倍數,倍数,bèishù,multiple,n
107,備用,备用,bèiyòng,reserve; alternate,v
108,被告,被告,bèigào,accused,n
109,奔馳,奔驰,bēnchí,run quickly,v
110,奔騰,奔腾,bēnténg,gallop; surge forward,v
111,本能,本能,běnnéng,instinct,n
112,本錢,本钱,běnqián,capital,n
113,本性,本性,běnxìng,nature,n
114,本著,本着,běnzhe,in line with,prep
115,笨蛋,笨蛋,bèndàn,idiot,n
116,笨重,笨重,bènzhòng,lumpish; ponderous,adj
117,笨拙,笨拙,bènzhuō,clumsy,adj
118,崩潰,崩溃,bēngkuì,collapse breakdown,v
119,繃,绷,bēng,stretch tight,v
120,繃帶,绷带,bēngdài,bandage,n
121,蹦,蹦,bèng,jump,v
122,逼近,逼近,bījìn,approach,v
123,逼迫,逼迫,bīpò,force; compel,v
124,鼻涕,鼻涕,bítì,nasal mucus; snot,n
125,比分,比分,bǐfēn,score,n
126,比價,比价,bǐjià,rate of exchange,n
127,比喻,比喻,bǐyù,comparison; trope,v
128,比重,比重,bǐzhòng,specific gravity; proportion,n
129,筆跡,笔迹,bǐjì,a person's handwriting,n
130,筆直,笔直,bǐzhí,straight; upright,adj
131,彼,彼,bǐ,that,pron
132,碧綠,碧绿,bìlǜ,dark green,adj
133,幣,币,bì,money,n
134,閉幕式,闭幕式,bìmùshì,closing ceremony,n
135,閉塞/蔽塞,闭塞,bìsè,close up; unenlightened,adj
136,弊病,弊病,bìbìng,disadvantage,n
137,弊端,弊端,bìduān,disadvantage; malpractice,n
138,必將,必将,bìjiān,surely,adv
139,臂,臂,bì,arm,n
140,鞭策,鞭策,biāncè,urge on,v
141,鞭炮,鞭炮,biānpào,firecracker,n
142,鞭子,鞭子,biānzi,whip,n
143,邊防,边防,biānfáng,border defense,n
144,邊境,边境,biānjìng,border; frontier,n
145,編號,编号,biānhào,serial number,n
146,編者按,编者按,biānzhě àn,editorial note,
147,貶低,贬低,biǎndī,depreciate,v
148,貶義,贬义,biǎnyì,derogatory sense,n
149,貶值,贬值,biǎn zhí,devaluate; depreciate,
150,便道,便道,biàndào,pavement,n
151,變更,变更,biàngēng,change; permute,v
152,變換,变换,biànhuàn,transform; change,v
153,變遷,变迁,biànqiān,vicissitude,n
154,變形,变形,biàn xíng,metamorphose,
155,變質,变质,biàn zhì,deteriorate,
156,辯證,辩证,biànzhèng,dialectical,v
157,辮子,辫子,biànzi,queue; plait,n
158,辨別,辨别,biànbié,distinguish; discern,v
159,辨認,辨认,biànrèn,distinguish,v
160,辯護,辩护,biànhù,vindicate; plead,v
161,辯解,辩解,biànjiě,exculpate; plea,v
162,辯證法,辩证法,biànzhèngfǎ,dialectics,n
163,遍地,遍地,biàndì,all over,n
164,標,标,biāo,mark,v
165,標本,标本,biāoběn,specimen; demo,n
166,標題,标题,biāotí,title; heading,n
167,表彰,表彰,biǎozhāng,commend; cite,v
168,憋,憋,biē,hold back,v
169,別扭,别扭,bièniu,unnatural; awkward,adj
170,冰淇淋,冰淇淋,bīngqílín,ice cream,n
171,秉性,秉性,bǐngxìng,temper,n
172,病蟲害,病虫害,bìngchónghài,plants diseases and insect pests,n
173,病毒,病毒,bìngdú,virus,n
174,病號,病号,bìnghào,patient,n
175,並存,并存,bìngcún,coexist,v
176,並非,并非,bìngfēi,not so,v
177,並列,并列,bìngliè,appose; juxtapose,v
178,並排,并排,bìngpái,side by side,v
179,播放,播放,bōfàng,play,v
180,播音,播音,bō yīn,broadcast,
181,播種,播种,bōzhòng/bōzhǒng,seed; sow,v
182,撥款,拨款,bō kuǎn,grant-in-aid; appropriation,
183,波動,波动,bōdòng,popple,v
184,波濤,波涛,bōtāo,wave,n
185,博覽會,博览会,bólǎnhuì,exhibition,n
186,薄膜,薄膜,bómó,thin film; membrane,n
187,搏鬥,搏斗,bódòu,struggle; fight,v
188,駁斥,驳斥,bóchì,refute,v
189,捕撈,捕捞,bǔlāo,fish for; catch,v
190,捕捉,捕捉,bǔzhuō,catch,v
191,補償,补偿,bǔcháng,expiate; compensate,v
192,補救,补救,bǔjiù,repair; remedy,v
193,補貼,补贴,bǔtiē,allowance,n
194,補助,补助,bǔzhù,allowance,n
195,卜,卜,bǔ,predict,v
196,不辭而別,不辞而别,bù cí ér bié,leave without saying goodbye,
197,不當,不当,bùdàng,improper,adj
198,不定,不定,bùdìng,inconstantly,adv
199,不愧,不愧,bùkuì,creditably,adv
200,不正之風,不正之风,bù zhèng zhī fēng,unhealthy tendency,
201,不亢不卑,不亢不卑,bú kàng bù bēi,neither supercilious nor obsequious,
202,不得,不得,bùdé,should not,v
203,不得已,不得已,bùdéyǐ,have no alternative but to,adj
204,不等,不等,bùděng,different; various,adj
205,不法,不法,bùfǎ,illegal,adj
206,不妨,不妨,bùfáng,might as well,adv
207,不公,不公,bùgōng,unfair; unjust,adj
208,不解,不解,bùjiě,not understand,v
209,不堪,不堪,bùkān,can't bear,adj
210,不良,不良,bùliáng,bad,adj
211,不容,不容,bùróng,not allow,v
212,不時,不时,bùshí,now and then,adv
213,不惜,不惜,bùxī,not spare; not hesitate,v
214,不相上下,不相上下,bù xiāng shàng xià,about the same; equally matched,
215,不朽,不朽,bùxiǔ,immortalize,v
216,不宜,不宜,bùyí,not suitable; inadvisable,adv
217,不言而喻,不言而喻,bù yán ér yù,tell its own tale,
218,不知不覺,不知不觉,bù zhī bù jué,unconsciously; unknowingly,
219,不至於,不至于,bùzhìyú,not to such an extent as to,adv
220,布局,布局,bùjú,distribution; layout,n
221,步兵,步兵,bùbīng,infantry,n
222,步伐,步伐,bùfá,march; pace; step,n
223,步行,步行,bùxíng,walk,v
224,步子,步子,bùzi,pace; step,n
225,埠,埠,bù,port; pier,n
226,部件,部件,bùjiàn,parts,n
227,部位,部位,bùwèi,part; section,n
228,猜測,猜测,cāicè,guess; surmise,v
229,裁,裁,cái,cut into parts,v
230,裁決,裁决,cáijué,judge; umpirage,n
231,裁軍,裁军,cái jūn,disarmament,
232,才幹,才干,cáigàn,talent; ability,n
233,才智,才智,cáizhì,ability and wisdom,n
234,財,财,cái,wealth; money,n
235,財經,财经,cáijīng,finance and economics,n
236,財會,财会,cáikuài,finance,n
237,財力,财力,cáilì,finance,n
238,財務,财务,cáiwù,financial affairs,n
239,採訪,采访,cǎifǎng,gather news,v
240,採集,采集,cǎijí,gather; collect,v
241,採納,采纳,cǎinà,accept,v
242,菜單,菜单,càidān,menu,n
243,餐,餐,cān,meal; eat,n
244,參軍,参军,cān jūn,join up the army,
245,參議院,参议院,cānyìyuàn,senate,n
246,參與,参与,cānyù,participate in; attach oneself to,v
247,參閱,参阅,cānyuè,refer to; consult,v
248,參照,参照,cānzhào,refer to,v
249,殘,残,cán,incomplete,adj
250,殘暴,残暴,cánbào,atrocious; barbarous,adj
251,殘疾,残疾,cánji,deformity,n
252,殘忍,残忍,cánrěn,brutal,adj
